\SI{144}{\degree},\SI{5}{\degree},\SI{146.33}{\degree},\SI{148.38}{\degree},\SI{10.59}{\degree}
\SI{144}{\degree},\SI{6}{\degree},\SI{146.33}{\degree},\SI{148.38}{\degree},\SI{10.59}{\degree}
\SI{144}{\degree},\SI{7}{\degree},\SI{143.77}{\degree},\SI{148.38}{\degree},\SI{10.59}{\degree}
\SI{144}{\degree},\SI{8}{\degree},\SI{143.77}{\degree},\SI{148.38}{\degree},\SI{10.59}{\degree}
\SI{144}{\degree},\SI{9}{\degree},\SI{143.77}{\degree},\SI{148.38}{\degree},\SI{10.59}{\degree}
\SI{180}{\degree},\SI{0}{\degree},\SI{178.37}{\degree},\SI{178.36}{\degree},\SI{0.72}{\degree}
\SI{180}{\degree},\SI{1}{\degree},\SI{178.37}{\degree},\SI{178.36}{\degree},\SI{0.72}{\degree}
\SI{180}{\degree},\SI{2}{\degree},\SI{178.37}{\degree},\SI{178.36}{\degree},\SI{0.72}{\degree}
\SI{180}{\degree},\SI{3}{\degree},\SI{178.37}{\degree},\SI{178.36}{\degree},\SI{0.72}{\degree}
\SI{180}{\degree},\SI{4}{\degree},\SI{178.37}{\degree},\SI{178.36}{\degree},\SI{0.72}{\degree}
\SI{180}{\degree},\SI{5}{\degree},\SI{178.32}{\degree},\SI{178.36}{\degree},\SI{0.72}{\degree}
\SI{180}{\degree},\SI{6}{\degree},\SI{180.0}{\degree},\SI{178.36}{\degree},\SI{0.72}{\degree}
\SI{180}{\degree},\SI{7}{\degree},\SI{176.8}{\degree},\SI{178.36}{\degree},\SI{0.72}{\degree}
\SI{180}{\degree},\SI{8}{\degree},\SI{178.26}{\degree},\SI{178.36}{\degree},\SI{0.72}{\degree}
\SI{180}{\degree},\SI{9}{\degree},\SI{178.37}{\degree},\SI{178.36}{\degree},\SI{0.72}{\degree}
\SI{216}{\degree},\SI{0}{\degree},\SI{217.31}{\degree},\SI{218.43}{\degree},\SI{6.36}{\degree}
\SI{216}{\degree},\SI{1}{\degree},\SI{217.31}{\degree},\SI{218.43}{\degree},\SI{6.36}{\degree}
\SI{216}{\degree},\SI{2}{\degree},\SI{216.59}{\degree},\SI{218.43}{\degree},\SI{6.36}{\degree}
\SI{216}{\degree},\SI{3}{\degree},\SI{214.72}{\degree},\SI{218.43}{\degree},\SI{6.36}{\degree}
\SI{216}{\degree},\SI{4}{\degree},\SI{216.59}{\degree},\SI{218.43}{\degree},\SI{6.36}{\degree}
\SI{216}{\degree},\SI{5}{\degree},\SI{216.59}{\degree},\SI{218.43}{\degree},\SI{6.36}{\degree}
\SI{216}{\degree},\SI{6}{\degree},\SI{237.32}{\degree},\SI{218.43}{\degree},\SI{6.36}{\degree}
\SI{216}{\degree},\SI{7}{\degree},\SI{216.59}{\degree},\SI{218.43}{\degree},\SI{6.36}{\degree}
\SI{216}{\degree},\SI{8}{\degree},\SI{214.72}{\degree},\SI{218.43}{\degree},\SI{6.36}{\degree}
\SI{216}{\degree},\SI{9}{\degree},\SI{216.59}{\degree},\SI{218.43}{\degree},\SI{6.36}{\degree}
\SI{252}{\degree},\SI{0}{\degree},\SI{249.97}{\degree},\SI{248.84}{\degree},\SI{2.97}{\degree}
\SI{252}{\degree},\SI{1}{\degree},\SI{249.97}{\degree},\SI{248.84}{\degree},\SI{2.97}{\degree}
\SI{252}{\degree},\SI{2}{\degree},\SI{249.97}{\degree},\SI{248.84}{\degree},\SI{2.97}{\degree}
\SI{252}{\degree},\SI{3}{\degree},\SI{249.97}{\degree},\SI{248.84}{\degree},\SI{2.97}{\degree}
\SI{252}{\degree},\SI{4}{\degree},\SI{249.97}{\degree},\SI{248.84}{\degree},\SI{2.97}{\degree}
\SI{252}{\degree},\SI{5}{\degree},\SI{249.97}{\degree},\SI{248.84}{\degree},\SI{2.97}{\degree}
\SI{252}{\degree},\SI{6}{\degree},\SI{249.97}{\degree},\SI{248.84}{\degree},\SI{2.97}{\degree}
\SI{252}{\degree},\SI{7}{\degree},\SI{240.0}{\degree},\SI{248.84}{\degree},\SI{2.97}{\degree}
\SI{252}{\degree},\SI{8}{\degree},\SI{249.97}{\degree},\SI{248.84}{\degree},\SI{2.97}{\degree}
\SI{252}{\degree},\SI{9}{\degree},\SI{248.69}{\degree},\SI{248.84}{\degree},\SI{2.97}{\degree}
\SI{288}{\degree},\SI{0}{\degree},\SI{277.74}{\degree},\SI{282.72}{\degree},\SI{9.98}{\degree}
\SI{288}{\degree},\SI{1}{\degree},\SI{302.68}{\degree},\SI{282.72}{\degree},\SI{9.98}{\degree}
\SI{288}{\degree},\SI{2}{\degree},\SI{277.74}{\degree},\SI{282.72}{\degree},\SI{9.98}{\degree}
\SI{288}{\degree},\SI{3}{\degree},\SI{302.68}{\degree},\SI{282.72}{\degree},\SI{9.98}{\degree}
\SI{288}{\degree},\SI{4}{\degree},\SI{277.74}{\degree},\SI{282.72}{\degree},\SI{9.98}{\degree}
\SI{288}{\degree},\SI{5}{\degree},\SI{277.74}{\degree},\SI{282.72}{\degree},\SI{9.98}{\degree}
\SI{288}{\degree},\SI{6}{\degree},\SI{277.74}{\degree},\SI{282.72}{\degree},\SI{9.98}{\degree}
\SI{288}{\degree},\SI{7}{\degree},\SI{277.74}{\degree},\SI{282.72}{\degree},\SI{9.98}{\degree}
\SI{288}{\degree},\SI{8}{\degree},\SI{277.74}{\degree},\SI{282.72}{\degree},\SI{9.98}{\degree}
\SI{288}{\degree},\SI{9}{\degree},\SI{277.74}{\degree},\SI{282.72}{\degree},\SI{9.98}{\degree}
\SI{324}{\degree},\SI{0}{\degree},\SI{330.95}{\degree},\SI{330.95}{\degree},\SI{0.0}{\degree}
\SI{324}{\degree},\SI{1}{\degree},\SI{330.95}{\degree},\SI{330.95}{\degree},\SI{0.0}{\degree}
\SI{324}{\degree},\SI{2}{\degree},\SI{330.95}{\degree},\SI{330.95}{\degree},\SI{0.0}{\degree}
\SI{324}{\degree},\SI{3}{\degree},\SI{330.95}{\degree},\SI{330.95}{\degree},\SI{0.0}{\degree}
\SI{324}{\degree},\SI{4}{\degree},\SI{330.95}{\degree},\SI{330.95}{\degree},\SI{0.0}{\degree}
\SI{324}{\degree},\SI{5}{\degree},\SI{330.95}{\degree},\SI{330.95}{\degree},\SI{0.0}{\degree}
\SI{324}{\degree},\SI{6}{\degree},\SI{330.95}{\degree},\SI{330.95}{\degree},\SI{0.0}{\degree}
\SI{324}{\degree},\SI{7}{\degree},\SI{330.95}{\degree},\SI{330.95}{\degree},\SI{0.0}{\degree}
\SI{324}{\degree},\SI{8}{\degree},\SI{330.95}{\degree},\SI{330.95}{\degree},\SI{0.0}{\degree}
\SI{324}{\degree},\SI{9}{\degree},\SI{330.95}{\degree},\SI{330.95}{\degree},\SI{0.0}{\degree}
