#Time (s),Channel 1 (V),Channel 2 (V)
-1,2.499764190898609,2.514457710430052
-0.99975,2.499764190898609,2.514457710430052
-0.9995000000000001,2.499764190898609,2.514457710430052
-0.99925,2.499764190898609,2.514457710430052
-0.999,2.500098143755829,2.514123172738997
-0.99875,2.500098143755829,2.514457710430052
-0.9985000000000001,2.500098143755829,2.514123172738997
-0.99825,2.500098143755829,2.514123172738997
-0.998,2.500098143755829,2.514123172738997
-0.99775,2.500098143755829,2.513788635047943
-0.9975000000000001,2.500098143755829,2.513788635047943
-0.99725,2.500098143755829,2.513788635047943
-0.997,2.500432096613048,2.513788635047943
-0.99675,2.500098143755829,2.513788635047943
-0.9965000000000001,2.500432096613048,2.513454097356888
-0.99625,2.500098143755829,2.513454097356888
-0.996,2.500098143755829,2.513454097356888
-0.99575,2.500432096613048,2.513454097356888
-0.9955000000000001,2.500432096613048,2.513119559665834
-0.99525,2.500766049470268,2.513119559665834
-0.995,2.501100002327488,2.513119559665834
-0.99475,2.501433955184708,2.513454097356888
-0.9945000000000001,2.501767908041928,2.513454097356888
-0.99425,2.501767908041928,2.513454097356888
-0.994,2.501767908041928,2.513119559665834
-0.99375,2.501767908041928,2.513119559665834
-0.9935,2.501767908041928,2.513119559665834
-0.99325,2.501767908041928,2.512785021974779
-0.993,2.501767908041928,2.512785021974779
-0.99275,2.502101860899148,2.513119559665834
-0.9925,2.502101860899148,2.513119559665834
-0.99225,2.502101860899148,2.512785021974779
-0.992,2.502435813756368,2.512785021974779
-0.99175,2.502101860899148,2.512450484283725
-0.9915,2.502101860899148,2.51211594659267
-0.99125,2.501767908041928,2.51211594659267
-0.991,2.501767908041928,2.511781408901615
-0.99075,2.501767908041928,2.511446871210561
-0.9905,2.501433955184708,2.511446871210561
-0.99025,2.501433955184708,2.511112333519506
-0.99,2.501433955184708,2.510777795828452
-0.98975,2.501100002327488,2.510777795828452
-0.9895,2.501100002327488,2.510777795828452
-0.98925,2.501100002327488,2.510443258137397
-0.989,2.501100002327488,2.510108720446342
-0.98875,2.501100002327488,2.510108720446342
-0.9885,2.500766049470268,2.509774182755288
-0.98825,2.500766049470268,2.509774182755288
-0.988,2.500766049470268,2.509439645064233
-0.98775,2.500766049470268,2.509439645064233
-0.9875,2.501100002327488,2.509439645064233
-0.98725,2.501100002327488,2.509439645064233
-0.987,2.500766049470268,2.509105107373179
-0.98675,2.500766049470268,2.509105107373179
-0.9865,2.500766049470268,2.509105107373179
-0.98625,2.500766049470268,2.508770569682124
-0.986,2.500766049470268,2.508770569682124
-0.98575,2.501100002327488,2.508770569682124
-0.9855,2.500766049470268,2.508436031991069
-0.98525,2.500766049470268,2.508436031991069
-0.985,2.501100002327488,2.508436031991069
-0.98475,2.501100002327488,2.508436031991069
-0.9845,2.500766049470268,2.508101494300015
-0.98425,2.500766049470268,2.508101494300015
-0.984,2.501100002327488,2.50776695660896
-0.98375,2.500766049470268,2.50776695660896
