#Time (s),Channel 1 (V),Channel 2 (V)
-0.5,2.497760473755289,2.499403514332596
-0.499875,2.497426520898069,2.500072589714705
-0.49975,2.497092568040849,2.500741665096814
-0.499625,2.496758615183629,2.501076202787869
-0.4995,2.496090709469189,2.501410740478923
-0.499375,2.495422803754749,2.501745278169978
-0.49925,2.49475489804031,2.502079815861032
-0.499125,2.49408699232587,2.502079815861032
-0.499,2.49341908661143,2.502414353552087
-0.498875,2.49275118089699,2.502414353552087
-0.49875,2.49208327518255,2.502414353552087
-0.498625,2.49141536946811,2.502079815861032
-0.4985,2.49074746375367,2.501745278169978
-0.498375,2.490079558039231,2.501410740478923
-0.49825,2.489745605182011,2.501076202787869
-0.498125,2.489077699467571,2.500407127405759
-0.498,2.488743746610351,2.500072589714705
-0.497875,2.488409793753131,2.499403514332596
-0.49775,2.488075840895911,2.498734438950486
-0.497625,2.488075840895911,2.498065363568378
-0.4975,2.487741888038691,2.497396288186268
-0.497375,2.488075840895911,2.496727212804159
-0.49725,2.488409793753131,2.49605813742205
-0.497125,2.488409793753131,2.495389062039941
-0.497,2.488743746610351,2.494719986657832
-0.496875,2.489411652324791,2.494050911275723
-0.49675,2.489745605182011,2.493716373584668
-0.496625,2.490413510896451,2.493047298202558
-0.4965,2.49074746375367,2.49237822282045
-0.496375,2.49141536946811,2.492043685129395
-0.49625,2.49241722803977,2.492043685129395
-0.496125,2.49308513375421,2.492043685129395
-0.496,2.49375303946865,2.49170914743834
-0.495875,2.49442094518309,2.492043685129395
-0.49575,2.49508885089753,2.492043685129395
-0.495625,2.49575675661197,2.492043685129395
-0.4955,2.496424662326409,2.49237822282045
-0.495375,2.497092568040849,2.492712760511504
-0.49525,2.497426520898069,2.493047298202558
-0.495125,2.497760473755289,2.493716373584668
-0.495,2.498428379469729,2.494050911275723
-0.494875,2.498762332326949,2.494719986657832
-0.49475,2.499096285184169,2.495054524348886
-0.494625,2.499096285184169,2.495723599730995
-0.4945,2.499430238041389,2.496727212804159
-0.494375,2.499430238041389,2.497396288186268
-0.49425,2.499430238041389,2.498065363568378
-0.494125,2.499096285184169,2.498734438950486
-0.494,2.498762332326949,2.499403514332596
-0.493875,2.498762332326949,2.500072589714705
-0.49375,2.498428379469729,2.500407127405759
-0.493625,2.497760473755289,2.500741665096814
-0.4935,2.497426520898069,2.501076202787869
-0.493375,2.496758615183629,2.501410740478923
-0.49325,2.496090709469189,2.501745278169978
